Nom,Catégorie,Statut,Adresse,Latitude,Longitude
Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958
Acima,Supermarché,Formel,Acima,33.5945384,-7.595292
Supermarché Mamoun,Supermarché,Formel,Supermarché Mamoun,33.5879309,-7.6393934
Carrefour Gourmet,Supermarché,Formel,Carrefour Gourmet,33.5908121,-7.6462218
Hachmi,Supermarché,Formel,Hachmi,33.6022232,-7.5788395
BIM,Supermarché,Formel,BIM,33.5640326,-7.555968
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5802189,-7.6409084
BİM,Supermarché,Formel,BİM,33.5972247,-7.6346254
BİM,Supermarché,Formel,BİM,33.6014315,-7.6346726
Supermarché,Supermarché,Formel,Supermarché,33.601049,-7.632989
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5730326,-7.6198771
BİM,Supermarché,Formel,BİM,33.5729969,-7.6201882
BİM,Supermarché,Formel,BİM,33.557744,-7.559864
Protectron Maroc,Supermarché,Formel,Protectron Maroc,33.5835673,-7.596623
Supermarche Bim,Supermarché,Formel,Supermarche Bim,33.5841994,-7.5826163
BİM,Supermarché,Formel,BİM,33.5939838,-7.6244925
BİM,Supermarché,Formel,BİM,33.5957829,-7.628286
Carrefour Market,Supermarché,Formel,Carrefour Market,33.597148,-7.6294045
Acima Mers Sultan,Supermarché,Formel,Acima Mers Sultan,33.5761212,-7.6156344
Aswak Assalam,Supermarché,Formel,Aswak Assalam,33.5808385,-7.5928561
BİM,Supermarché,Formel,BİM,33.5891579,-7.6310019
Marché Salmia 2,Supermarché,Formel,Marché Salmia 2,33.5386572,-7.5532235
BMI,Supermarché,Formel,BMI,33.5972407,-7.6152396
Bim,Supermarché,Formel,Bim,33.5905784,-7.5928946
,Supermarché,Formel,,33.5886673,-7.6130079
Economat du professeur,Supermarché,Formel,Economat du professeur,33.5882331,-7.6310778
Carrefour,Supermarché,Formel,Carrefour,33.5844973,-7.6080134
سوق الخليل,Supermarché,Formel,سوق الخليل,33.5479552,-7.5974437
BIM,Supermarché,Formel,BIM,33.5395666,-7.5833828
Acima آسيما,Supermarché,Formel,Acima آسيما,33.540036,-7.6003544
Tachfine center,Supermarché,Formel,Tachfine center,33.5866306,-7.5924065
Coquillage Market,Supermarché,Formel,Coquillage Market,33.5904924,-7.6280568
BİM,Supermarché,Formel,BİM,33.6002411,-7.6178059
Carrefour,Supermarché,Formel,Carrefour,33.5739187,-7.6445744
BİM,Supermarché,Formel,BİM,33.600148,-7.6178386
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5841408,-7.599484
Asia Supermarché,Supermarché,Formel,Asia Supermarché,33.588586,-7.6110077
Marjane,Supermarché,Formel,Marjane,33.5879069,-7.6125249
,Supermarché,Formel,,33.588499,-7.6144239
Marjane,Supermarché,Formel,Marjane,33.59444,-7.6086746
BİM,Supermarché,Formel,BİM,33.5840702,-7.6376258
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5926838,-7.6011795
Bim,Supermarché,Formel,Bim,33.586847,-7.6033536
BIM,Supermarché,Formel,BIM,33.5998615,-7.6374127
BIM,Supermarché,Formel,BIM,33.6019964,-7.6380539
Otob,Supermarché,Formel,Otob,33.6008678,-7.6355528
BİM,Supermarché,Formel,BİM,33.5944393,-7.6061698
BİM,Supermarché,Formel,BİM,33.5189452,-7.6444846
Epicier Oujdi,Supermarché,Formel,Epicier Oujdi,33.5217794,-7.6455492
BİM,Supermarché,Formel,BİM,33.5147228,-7.6453389
سوق السلام,Supermarché,Formel,سوق السلام,33.5849068,-7.5540871
alimentation général ZAHRI,Supermarché,Formel,alimentation général ZAHRI,33.5337483,-7.5561429
Bim,Supermarché,Formel,Bim,33.5833045,-7.6221079
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5740376,-7.6361871
BİM,Supermarché,Formel,BİM,33.5765392,-7.6464177
BİM,Supermarché,Formel,BİM,33.5937022,-7.5987385
,Supermarché,Formel,,33.591678,-7.5948403
ADIPRO,Supermarché,Formel,ADIPRO,33.5802619,-7.6224175
Art Deco Et Laser,Supermarché,Formel,Art Deco Et Laser,33.5805361,-7.6217608
Espace Turquie,Supermarché,Formel,Espace Turquie,33.5802289,-7.6232078
Societe Industrielle De Produits Medical Sa,Supermarché,Formel,Societe Industrielle De Produits Medical Sa,33.5798484,-7.6228174
Ensure Services,Supermarché,Formel,Ensure Services,33.5794161,-7.6229794
BIM,Supermarché,Formel,BIM,33.5789653,-7.6221811
KADI MED,Supermarché,Formel,KADI MED,33.5787764,-7.6219061
BİM,Supermarché,Formel,BİM,33.5739454,-7.5588138
,Supermarché,Formel,,33.593301,-7.6273077
souq baladia,Supermarché,Formel,souq baladia,33.5624485,-7.5748432
CARRE PRIMEUR,Supermarché,Formel,CARRE PRIMEUR,33.5992312,-7.6373297
Carrefour Market,Supermarché,Formel,Carrefour Market,33.5897236,-7.6297373
BİM,Supermarché,Formel,BİM,33.5630833,-7.6476427
Bim,Supermarché,Formel,Bim,33.5710869,-7.6094122
Bim,Supermarché,Formel,Bim,33.5894279,-7.6137309
Carrefour,Supermarché,Formel,Carrefour,33.5987457,-7.5751282
,Supermarché,Formel,,33.5872366,-7.6166659
BİM,Supermarché,Formel,BİM,33.5847171,-7.6114149
,Supermarché,Formel,,33.5845268,-7.6158941
,Supermarché,Formel,,33.5898327,-7.614064
BIM batinia,Supermarché,Formel,BIM batinia,33.5746394,-7.6299306
Marjane,Supermarché,Formel,Marjane,33.5859021,-7.5930568
Celia Store,Supermarché,Formel,Celia Store,33.5886492,-7.6384436
Marjane,Supermarché,Formel,Marjane,33.58076,-7.6415292
Coin Vert,Supermarché,Formel,Coin Vert,33.5796449,-7.6405726
Carrefour Market,Supermarché,Formel,Carrefour Market,33.531131,-7.6226294
Marjane,Supermarché,Formel,Marjane,33.5785138,-7.6243943
Kazyon,Supermarché,Formel,Kazyon,33.589598,-7.63254
Carrefour,Supermarché,Formel,Carrefour,33.5354196,-7.6419162
,Supérette / Mini-market,Formel,,33.6004234,-7.6172703
,Supérette / Mini-market,Formel,,33.5966384,-7.628025
,Supérette / Mini-market,Formel,,33.596692,-7.6297201
,Supérette / Mini-market,Formel,,33.5966429,-7.6296397
,Supérette / Mini-market,Formel,,33.5960083,-7.627848
,Supérette / Mini-market,Formel,,33.5971612,-7.628353
,Supérette / Mini-market,Formel,,33.5965848,-7.6302949
,Supérette / Mini-market,Formel,,33.5957716,-7.6275422
,Supérette / Mini-market,Formel,,33.5992194,-7.6137934
Libre Service Zaki,Supérette / Mini-market,Formel,Libre Service Zaki,33.5917672,-7.6383605
Bim,Supérette / Mini-market,Formel,Bim,33.5530459,-7.5897091
Epicerie El Aarbi,Supérette / Mini-market,Formel,Epicerie El Aarbi,33.6008471,-7.5796349
Centre Artisanal,Supérette / Mini-market,Formel,Centre Artisanal,33.5997833,-7.6371617
Moumni Snack,Supérette / Mini-market,Formel,Moumni Snack,33.5832949,-7.6187043
Chez Abed,Supérette / Mini-market,Formel,Chez Abed,33.5858232,-7.611757
,Supérette / Mini-market,Formel,,33.584753,-7.6108485
,Supérette / Mini-market,Formel,,33.5848631,-7.6108948
,Supérette / Mini-market,Formel,,33.5855528,-7.6128631
,Supérette / Mini-market,Formel,,33.5857737,-7.6123614
,Supérette / Mini-market,Formel,,33.5858386,-7.6115699
,Supérette / Mini-market,Formel,,33.593054,-7.6140391
,Supérette / Mini-market,Formel,,33.6013825,-7.6346063
,Supérette / Mini-market,Formel,,33.5998131,-7.6344641
BIM,Supérette / Mini-market,Formel,BIM,33.6020163,-7.6438822
Shell Select,Supérette / Mini-market,Formel,Shell Select,33.5733051,-7.6149409
Snack Canizares,Supérette / Mini-market,Formel,Snack Canizares,33.5872307,-7.6111475
Snack City,Supérette / Mini-market,Formel,Snack City,33.5850687,-7.621232
Snack Abdou,Supérette / Mini-market,Formel,Snack Abdou,33.5770497,-7.6330103
Snack Amine,Supérette / Mini-market,Formel,Snack Amine,33.5769276,-7.6332021
Snack Aloum,Supérette / Mini-market,Formel,Snack Aloum,33.569411,-7.6285833
Snack Fixi,Supérette / Mini-market,Formel,Snack Fixi,33.5754778,-7.6263933
Snack Essaada,Supérette / Mini-market,Formel,Snack Essaada,33.577312,-7.6329808
