Nom,Catégorie,Statut,Adresse,Latitude,Longitude
Carrefour Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
Marjane Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
BIM Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
Acima Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
LabelVie Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
Paul Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
McDonald's Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
KFC Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Brioche Dorée Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Domino's Pizza Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Starbucks Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Subway Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Pizza Hut Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Auchan Casablanca,Supermarché,Formel,Casablanca,33.5731,-7.5898
La Vie Claire Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
Amoud Casablanca,Restaurant,Formel,Casablanca,33.5731,-7.5898
