Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Ancienne Medina,La Bodega,Restaurant,Formel,"Rue Allal Ben Abdellah, Casablanca",33.5952195,-7.6115725,icons/restaurant.png
Ancienne Medina,La Sqala,Restaurant,Formel,"Boulevard des Almohades, Casablanca",33.6028481,-7.619212,icons/restaurant.png
Assoukhour Assawda,Pizza Hut,Restaurant,Formel,Pizza Hut,33.5928474,-7.597267,icons/restaurant.png
Palmiers,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5821087,-7.6265575,icons/pharmacy.png
Californie,Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958,icons/supermarket.png
Gauthier,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5896864,-7.6265742,icons/restaurant.png
Bourgogne,Chez Pépé,Restaurant,Formel,Chez Pépé,33.595533,-7.6454829,icons/restaurant.png
Dar Bouazza,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5278671,-7.7940568,icons/convenience.png
Dar Bouazza,Café sans nom,Café,Formel,Café sans nom,33.5357372,-7.7936277,icons/cafe.png
Dar Bouazza,BIM,Supérette / Mini-market,Formel,BIM,33.5339039,-7.7936384,icons/convenience.png
Arrondissement d'Aïn Sebaâ,khalid ibn oualid,Parapharmacie,Formel,khalid ibn oualid,33.6000497,-7.5450991,icons/pharmacy.png
Ancienne Medina,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.6004234,-7.6172703,icons/convenience.png
Ancienne Medina,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5999101,-7.6174265,icons/restaurant.png
Mers Sultan,Au 19 Heure,Café,Formel,Au 19 Heure,33.5827625,-7.6112767,icons/cafe.png
Préfecture d'arrondissement de Hay Hassani,pharmacie wifak,Parapharmacie,Formel,pharmacie wifak,33.5598715,-7.6919901,icons/pharmacy.png
Préfecture d'arrondissement de Hay Hassani,Pharmacie Ahmed,Parapharmacie,Formel,Pharmacie Ahmed,33.5574213,-7.6902715,icons/pharmacy.png
Dar Bouazza,Sunset cafe,Café,Formel,Sunset cafe,33.5339844,-7.7940679,icons/cafe.png
Assoukhour Assawda,Maeva,Café,Formel,Maeva,33.5957256,-7.5933532,icons/cafe.png
Riviera,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5545488,-7.6399358,icons/pharmacy.png
L'Oasis,Dalal,Parapharmacie,Formel,Rue de Vanneaux,33.5545398,-7.6360392,icons/pharmacy.png
Assoukhour Assawda,Antouki,Boulangerie,Formel,Antouki,33.5937563,-7.5970471,icons/bakery.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5924515,-7.5954887,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5923666,-7.595596,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.594621,-7.5934475,icons/cafe.png
Assoukhour Assawda,Sampione,Café,Formel,Sampione,33.5928563,-7.5971409,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5926705,-7.5961807,icons/cafe.png
Assoukhour Assawda,Mahboub محبوب,Restaurant,Formel,Mahboub محبوب,33.5921991,-7.5923586,icons/restaurant.png
Assoukhour Assawda,Amoud,Boulangerie,Formel,Amoud,33.5938837,-7.596119,icons/bakery.png
Assoukhour Assawda,Snack Essaada,Restaurant,Formel,"Boulevard Émile Zola, Casablanca",33.5936543,-7.5974637,icons/restaurant.png
Assoukhour Assawda,Paradisio,Restaurant,Formel,Boulevard Émile Zola,33.5938278,-7.5969183,icons/restaurant.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5920315,-7.5973448,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.592036,-7.5975808,icons/cafe.png
Assoukhour Assawda,Pharmacie du conseil,Parapharmacie,Formel,Boulevards Mohammed 5,33.5920672,-7.5950193,icons/pharmacy.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5916786,-7.5917569,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5921344,-7.6002863,icons/cafe.png
Assoukhour Assawda,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5905168,-7.5955656,icons/restaurant.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5909904,-7.5975933,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5915356,-7.5918427,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5914194,-7.59195,icons/cafe.png
Assoukhour Assawda,Venezia Ice,Café,Formel,Venezia Ice,33.5944312,-7.5954315,icons/cafe.png
Assoukhour Assawda,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5941095,-7.5965151,icons/pharmacy.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5906061,-7.595469,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5910262,-7.5924971,icons/cafe.png
Assoukhour Assawda,Kiosque sans nom,Kiosque,Informel,Kiosque sans nom,33.5911175,-7.5924051,icons/kiosk.png
Assoukhour Assawda,Acima,Supermarché,Formel,Boulevard Emile Zola,33.5945384,-7.595292,icons/supermarket.png
Assoukhour Assawda,Alhana,Café,Formel,Alhana,33.5900564,-7.5931006,icons/cafe.png
Assoukhour Assawda,Café de la gare,Café,Formel,Café de la gare,33.5899952,-7.5905952,icons/cafe.png
Assoukhour Assawda,Café sans nom,Café,Formel,Café sans nom,33.5909815,-7.591435,icons/cafe.png
Assoukhour Assawda,Bellevue,Café,Formel,Bellevue,33.5906508,-7.5928083,icons/cafe.png
Riviera,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5637163,-7.6355448,icons/pharmacy.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5966384,-7.628025,icons/convenience.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.596692,-7.6297201,icons/convenience.png
Sour Jdid,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.5971969,-7.6284702,icons/bakery.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5966429,-7.6296397,icons/convenience.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5960083,-7.627848,icons/convenience.png
Sour Jdid,Jus Bordeaux,Café,Formel,Jus Bordeaux,33.5969487,-7.6279619,icons/cafe.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5971612,-7.628353,icons/convenience.png
Sour Jdid,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5959681,-7.6276825,icons/pharmacy.png
Sour Jdid,Monsieur Brochette,Restaurant,Formel,Monsieur Brochette,33.5949185,-7.6271531,icons/restaurant.png
Sour Jdid,Mamelouk Café,Restaurant,Formel,Mamelouk Café,33.5962988,-7.6304773,icons/restaurant.png
Sour Jdid,Café Splendeur,Café,Formel,Boulevard Ziraoui شارع الزيراوي,33.5962469,-7.6313052,icons/cafe.png
Sour Jdid,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5965848,-7.6302949,icons/convenience.png
Arrondissement d'Anfa,Marjane,Supermarché,Formel,Marjane,33.5746919,-7.7081046,icons/supermarket.png
Ain Diab,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5771567,-7.6741813,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,boulangerie Itrane,Boulangerie,Formel,boulangerie Itrane,33.5766048,-7.6732212,icons/bakery.png
راسين,Luigi,Restaurant,Formel,Rue Ibnou Yaala Al Ifrani زنقة إبن يلعى الإفراني,33.5882356,-7.6398452,icons/restaurant.png
راسين,Supermarché Mamoun,Supermarché,Formel,Rue Normandie زنقة نورماندي,33.5879309,-7.6393934,icons/supermarket.png
Arrondissement d'Aïn-Chock,Restaurant grillades au top,Café,Formel,Restaurant grillades au top,33.5111856,-7.6105369,icons/cafe.png
Bouskoura,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5101793,-7.6077293,icons/convenience.png
Bouskoura,Café sans nom,Café,Formel,Café sans nom,33.5102423,-7.6078169,icons/cafe.png
Arrondissement d'Aïn-Chock,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5110067,-7.6104565,icons/convenience.png
Arrondissement d'Aïn-Chock,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5109396,-7.6103706,icons/restaurant.png
Bouskoura,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5100315,-7.6077605,icons/restaurant.png
Ancienne Medina,Alba Fast Food,Restaurant,Formel,Alba Fast Food,33.5930113,-7.6171532,icons/restaurant.png
Ancienne Medina,Cafe Black Stone,Café,Formel,Cafe Black Stone,33.5951697,-7.610295,icons/cafe.png
Cité Plateau,Café Ghandi,Café,Formel,Café Ghandi,33.5656336,-7.6379599,icons/cafe.png
Arrondissement de Sidi Belyout,Don Camilo,Restaurant,Formel,"Rue Abou Rakrak, Casablanca",33.587649,-7.612959,icons/restaurant.png
Ancienne Medina,Rick's Cafe,Restaurant,Formel,"Boulevard Sour Jdid, Casablanca",33.604995,-7.620406,icons/restaurant.png
Ancienne Medina,Bonne mie,Boulangerie,Formel,Boulevard de la Liberté,33.5868905,-7.6118985,icons/bakery.png
